Model,Accuracy,Balanced Accuracy,Matthews Correlation Coefficient
all-MiniLM-L6-v2,0.55215,0.3761163664514778,0.5427045539588436
word2vec Alpha=0.05 Window=10 Negative=5,0.5399,0.3697792167598635,0.5304305285910589
word2vec Alpha=0.05 Window=10 Negative=10,0.5381,0.3692726652575157,0.528572347521496
word2vec Alpha=0.04 Window=10 Negative=5,0.53615,0.36332555559460367,0.5265371659904636
word2vec Alpha=0.04 Window=10 Negative=10,0.53565,0.36850480302661026,0.5261167527141601
word2vec Alpha=0.05 Window=5 Negative=5,0.5353,0.3558044088237805,0.5256248711357188
word2vec Alpha=0.05 Window=5 Negative=10,0.53445,0.3576606267358064,0.5247753573433247
word2vec Alpha=0.03 Window=10 Negative=5,0.53395,0.35679288880768445,0.5242736155710112
word2vec Alpha=0.03 Window=10 Negative=10,0.5326,0.36086288042216463,0.522955777614133
word2vec Alpha=0.04 Window=5 Negative=10,0.53215,0.3532523493622678,0.5224324045943681
word2vec Alpha=0.04 Window=5 Negative=5,0.52945,0.3498297506749335,0.5196056472250601
e5-small-v2,0.5268,0.3366270604756935,0.5167707310580923
word2vec Alpha=0.03 Window=5 Negative=10,0.5267,0.34201601850517066,0.5168043373713797
word2vec Alpha=0.02 Window=10 Negative=10,0.5227,0.3422689562594641,0.5127491201385789
word2vec Alpha=0.03 Window=5 Negative=5,0.5222,0.33886102943917445,0.5122060296408465
word2vec Alpha=0.02 Window=10 Negative=5,0.5202,0.33987246479383665,0.5102600417647414
word2vec Alpha=0.02 Window=5 Negative=10,0.5173,0.33331720262791525,0.5071949709116128
word2vec Alpha=0.025 Window=5 Negative=5 - Standard,0.51595,0.33303173315919493,0.5058179811814124
word2vec Alpha=0.02 Window=5 Negative=5,0.5124,0.3252385627888513,0.5021237173061707
word2vec Alpha=0.01 Window=10 Negative=10,0.49985,0.3143714767914467,0.4894541965874336
word2vec Alpha=0.01 Window=10 Negative=5,0.49615,0.3085315465305587,0.4855197822627437
word2vec Alpha=0.01 Window=5 Negative=10,0.4875,0.29747765306460094,0.47662585219480297
word2vec Alpha=0.01 Window=5 Negative=5,0.4871,0.29340100188657514,0.4760882383307772
Naive Bayes,0.26005,0.06012984833397725,0.24369467106357268